"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00004027. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00004027";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00004027 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00004027";"process_id";;;;;;
"Register request";"Request PROC.2026.00004159 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 5.244,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"5244,75 €";"amount";"PROC.2026.00004159";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00004159 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00004159";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00004159, in the amount of 5.244,75€, under budget record BUD.2026.00004122. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"5244,75 €";"amount";"BUD.2026.00004122";"budget_id";"PROC.2026.00004159";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00004159, in the amount of 5.244,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"5244,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00004159";"process_id";;
"Commit expense";"Commitment COM.2026.00004147 was generated for process PROC.2026.00004159, in the amount of 5.244,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"5244,75 €";"amount";"COM.2026.00004147";"commitment_id";"PROC.2026.00004159";"process_id";;
"Issue order";"The order ORD.2026.00004114 was issued for project Secure Archive within process PROC.2026.00004159. The document consolidates the administrative, budgetary, and authorization information previously recorded, allowing the case to move to notification and final closure activities.";"ORD.2026.00004114";"order_id";"PROC.2026.00004159";"process_id";"Secure Archive";"project";;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00004159. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00004159";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00004159 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00004159";"process_id";;;;;;
"Register request";"Request PROC.2026.00004282 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 576,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"576,25 €";"amount";"PROC.2026.00004282";"process_id";"Student Portal";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00004282 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00004282";"process_id";;;;;;
